"id","code","name","ar_name","state_code"
"1","0101","Adrar","أدرار","1"
"2","0103","Charouine","شروين","1"
"3","0104","Reggane","رقان","1"
"4","0108","Tsabit","تسابيت","1"
"5","0109","Timimoun","تيميمون","1"
"6","0111","Zaouiat kounta","زاوية كنتة","1"
"7","0112","Aoulef","أولف","1"
"8","0115","Fenoughil","فنوغيل","1"
"9","0116","Tinerkouk","تنركوك","1"
"10","0123","Aougrout","أوقروت","1"
"11","0125","Bordj badji mokhtar","برج باجي مختار","1"
"12","0201","Chlef","الشلف","2"
"13","0202","Tenes","تنس","2"
"14","0204","El karimia","الكريمية","2"
"15","0206","Taougrit","تاوقريت","2"
"16","0207","Beni haoua","بني حواء","2"
"17","0210","Ouled fares","أولاد فارس","2"
"18","0212","Boukadir","بوقادير","2"
"19","0220","Zeboudja","الزبوجة","2"
"20","0222","Abou el hassane","أبو الحسن","2"
"21","0223","El marsa","المرسى","2"
"22","0229","Oued fodda","وادي الفضة","2"
"23","0230","Ouled ben abdelkader","أولاد بن عبد القادر","2"
"24","0232","Ain merane","عين مران","2"
"25","0301","Laghouat","الأغواط","3"
"26","0302","Ksar el hirane","قصر الحيران","3"
"27","0304","Sidi makhlouf","سيدي مخلوف","3"
"28","0306","Hassi r'mel","حاسي الرمل","3"
"29","0307","Ain madhi","عين ماضي","3"
"30","0310","Gueltat sidi saad","قتلة سيدي سعيد","3"
"31","0313","Brida","بريدة","3"
"32","0314","El ghicha","الغيشة","3"
"33","0319","Aflou","أفلو","3"
"34","0321","Oued morra","وادي مرة","3"
"35","0401","Oum el bouaghi","أم البواقي","4"
"36","0402","Ain beida","عين البيضاء","4"
"37","0403","Ain m'lila","عين مليلة","4"
"38","0406","Sigus","سيقوس","4"
"39","0408","Ain babouche","عين ببوش","4"
"40","0411","Dhalaa","الضلعة","4"
"41","0412","Ain kercha","عين كرشة","4"
"42","0416","F'kirina","فكيرينة","4"
"43","0417","Souk naamane","سوق نعمان","4"
"44","0422","Ksar sbahi","قصر الصباحي","4"
"45","0424","Meskiana","مسكيانة","4"
"46","0425","Ain fekroun","عين فكرون","4"
"47","0501","Batna","باتنة","5"
"48","0504","Merouana","مروانة","5"
"49","0505","Seriana","سريانة","5"
"50","0506","Menaa","منعة","5"
"51","0507","El madher","المعذر","5"
"52","0508","Tazoult","تازولت","5"
"53","0509","N'gaous","نقاوس","5"
"54","0516","Arris","أريس","5"
"55","0519","Ain djasser","عين جاسر","5"
"56","0529","Seggana","سقانة","5"
"57","0530","Ichemoul","إشمول","5"
"58","0535","Bouzina","بوزينة","5"
"59","0536","Chemora","الشمرة","5"
"60","0542","Barika","بريكة","5"
"61","0543","Djezzar","الجزار","5"
"62","0544","Tkout","تكوت","5"
"63","0545","Ain touta","عين التوتة","5"
"64","0547","Theniet el abed","ثنية العابد","5"
"65","0550","Timgad","تيمقاد","5"
"66","0551","Ras el aioun","رأس العيون","5"
"67","0553","Ouled si slimane","أولاد سي سليمان","5"
"68","0601","Bejaia","بجاية","6"
"69","0602","Amizour","أميزور","6"
"70","0607","Timezrit","تيمزريت","6"
"71","0608","Souk el tenine","سوق الإثنين","6"
"72","0611","Tichy","تيشي","6"
"73","0617","Ighil ali","إغيل علي","6"
"74","0620","Darguina","درقينة","6"
"75","0622","Aokas","أوقاس","6"
"76","0624","Adekar","أدكار","6"
"77","0625","Akbou","أقبو","6"
"78","0626","Seddouk","صدوق","6"
"79","0627","Tazmalt","تازملت","6"
"80","0629","Chemini","شميني","6"
"81","0634","Barbacha","برباشة","6"
"82","0636","Ifri ouzellaguene","إفري أوزلاقن","6"
"83","0639","Sidi aich","سيدي عيش","6"
"84","0640","El kseur","القصر","6"
"85","0644","Kherrata","خراطة","6"
"86","0650","Beni maouche","بني معوش","6"
"87","0701","Biskra","بسكرة","7"
"88","0705","Ouled djellal","أولاد جلال","7"
"89","0708","Sidi khaled","سيدي  خالد","7"
"90","0711","Sidi okba","سيدي عقبة","7"
"91","0712","Mechouneche","مشونش","7"
"92","0715","Zeribet el oued","زريبة الوادي","7"
"93","0717","El kantara","القنطرة","7"
"94","0719","El outaya","الوطاية","7"
"95","0720","Djemorah","جمورة","7"
"96","0721","Tolga","طولقة","7"
"97","0724","Ourlal","أورلال","7"
"98","0726","Foughala","فوغالة","7"
"99","0801","Bechar","بشار","8"
"100","0803","Ouled khodeir","أولاد خضير","8"
"101","0806","Lahmar","لحمر","8"
"102","0807","Beni abbes","بني عباس","8"
"103","0810","Kenadsa","القنادسة","8"
"104","0811","Igli","إقلي","8"
"105","0812","Tabelbala","تبلبالة","8"
"106","0813","Taghit","تاغيت","8"
"107","0814","El ouata","الواتة","8"
"108","0817","Abadla","العبادلة","8"
"109","0818","Kerzaz","كرزاز","8"
"110","0821","Beni ounif","بني ونيف","8"
"111","0901","Blida","البليدة","9"
"112","0903","Bouinan","بوعينان","9"
"113","0904","Oued el alleug","وادي العلايق","9"
"114","0905","Ouled yaich","أولاد يعيش","9"
"115","0907","El affroun","العفرون","9"
"116","0912","Mouzaia","موزاية","9"
"117","0914","Meftah","مفتاح","9"
"118","0916","Boufarik","بوفاريك","9"
"119","0917","Larbaa","الأربعاء","9"
"120","0922","Bougara","بوقرة","9"
"121","1001","Bouira","البويرة","10"
"122","1004","Souk el khemis","سوق الخميس","10"
"123","1005","Kadiria","القادرية","10"
"124","1012","Haizer","الحيزر","10"
"125","1013","Lakhdaria","الأخضرية","10"
"126","1015","El hachimia","الهاشمية","10"
"127","1018","Bordj okhriss","برج أوخريص","10"
"128","1033","Bechloul","بشلول","10"
"129","1035","Ain bessem","عين بسام","10"
"130","1036","Bir ghbalou","بئر غبالو","10"
"131","1037","M'chedallah","مشد الله","10"
"132","1038","Sour el ghozlane","سور الغزلان","10"
"133","1090","Timimoun (delegate state)","تيميمون (ولاية منتدبة)","1"
"134","1101","Tamanrasset","تمنراست","11"
"135","1102","Silet","سيلت","11"
"136","1103","Ain ghar","إينغر","11"
"137","1104","Ain guezzam","عين قزام","11"
"138","1104","Ain guezzam (delegate state)","عين قزام (ولاية منتدبة)","11"
"139","1106","Tazrouk","تاظروك","11"
"140","1107","Tin zouatine","تين زواتين","11"
"141","1108","Ain salah","عين صالح","11"
"142","1108","Ain salah (delegate state)","عين صالح (ولاية منتدبة)","11"
"143","1201","Tebessa","تبسة","12"
"144","1202","Bir el ater","بئر العاتر","12"
"145","1203","Cheria","الشريعة","12"
"146","1205","El aouinet","العوينات","12"
"147","1209","Negrine","نقرين","12"
"148","1210","Bir mokadem","بئر مقدم","12"
"149","1211","El kouif","الكويف","12"
"150","1212","Morsott","مرسط","12"
