"id","code","name","ar_name"
"1","01","Adrar","أدرار"
"2","02","Chlef","الشلف"
"3","03","Laghouat","الأغواط"
"4","04","Oum el bouaghi","أم البواقي"
"5","05","Batna","باتنة"
"6","06","Béjaïa","بجاية"
"7","07","Biskra","بسكرة"
"8","08","Bechar","بشار"
"9","09","Blida","البليدة"
"10","10","Bouira","البويرة"
"11","11","Tamanrasset","تمنراست"
"12","12","Tbessa","تبسة"
"13","13","Tlemcen","تلمسان"
"14","14","Tiaret","تيارت"
"15","15","Tizi ouzou","تيزي وزو"
"16","16","Alger","الجزائر"
"17","17","Djelfa","الجلفة"
"18","18","Jijel","جيجل"
"19","19","Sétif","سطيف"
"20","20","Saefda","سعيدة"
"21","21","Skikda","سكيكدة"
"22","22","Sidi bel abbes","سيدي بلعباس"
"23","23","Annaba","عنابة"
"24","24","Guelma","قالمة"
"25","25","Constantine","قسنطينة"
"26","26","Medea","المدية"
"27","27","Mostaganem","مستغانم"
"28","28","M'sila","المسيلة"
"29","29","Mascara","معسكر"
"30","30","Ouargla","ورقلة"
"31","31","Oran","وهران"
"32","32","El bayadh","البيض"
"33","33","Illizi","إليزي"
"34","34","Bordj bou arreridj","برج بوعريريج"
"35","35","Boumerdes","بومرداس"
"36","36","El tarf","الطارف"
"37","37","Tindouf","تندوف"
"38","38","Tissemsilt","تيسمسيلت"
"39","39","El oued","الوادي"
"40","40","Khenchela","خنشلة"
"41","41","Souk ahras","سوق أهراس"
"42","42","Tipaza","تيبازة"
"43","43","Mila","ميلة"
"44","44","Ain defla","عين الدفلى"
"45","45","Naama","النعامة"
"46","46","Ain temouchent","عين تموشنت"
"47","47","Ghardaïa","غرداية"
"48","48","Relizane","غليزان"
