"id","code","name","ar_name","county_code"
"1","0101","Adrar","أدرار","101"
"2","0102","Tamest","تامست","115"
"3","0103","Charouine","شروين","103"
"4","0104","Reggane","رقان","104"
"5","0105","In zghmir","إن زغمير","111"
"6","0106","Tit","تيت","112"
"7","0107","Ksar kaddour","قصر قدور","116"
"8","0108","Tsabit","تسابيت","108"
"9","0109","Timimoun","تيميمون","109"
"10","0110","Ouled said","أولاد السعيد","109"
"11","0111","Zaouiet kounta","زاوية كنتة","111"
"12","0112","Aoulef","أولف","112"
"13","0113","Timekten","تيمقتن","112"
"14","0114","Tamantit","تامنطيط","115"
"15","0115","Fenoughil","فنوغيل","115"
"16","0116","Tinerkouk","تنركوك","116"
"17","0117","Deldoul","دلدول","123"
"18","0118","Sali","سالي","104"
"19","0119","Akabli","اقبلي","112"
"20","0120","Metarfa","المطارفة","123"
"21","0121","Ouled ahmed timmi","أولاد أحمد تيمي","101"
"22","0122","Bouda","بودة","101"
"23","0123","Aougrout","أوقروت","123"
"24","0124","Talmine","طالمين","103"
"25","0125","Bordj badji mokhtar","برج باجي مختار","125"
"26","0126","Sebaa","السبع","108"
"27","0127","Ouled aissa","أولاد عيسى","103"
"28","0128","Timiaouine","تيمياوين","125"
"29","0201","Chlef","الشلف","201"
"30","0202","Tenes","تنس","202"
"31","0203","Benairia","بنايرية","220"
"32","0204","El karimia","الكريمية","204"
"33","0205","Tadjena","تاجنة","222"
"34","0206","Taougrit","تاوقريت","206"
"35","0207","Beni haoua","بني حواء","207"
"36","0208","Sobha","الصبحة","212"
"37","0209","Harchoun","حرشون","204"
"38","0210","Ouled fares","أولاد فارس","210"
"39","0211","Sidi akkacha","سيدي عكاشة","202"
"40","0212","Boukadir","بوقادير","212"
"41","0213","Beni rached","بني راشد","229"
"42","0214","Talassa","تلعصة","222"
"43","0215","Herenfa","الهرانفة","232"
"44","0216","Oued goussine","وادي قوسين","207"
"45","0217","Dahra","الظهرة","206"
"46","0218","Ouled abbes","أولاد عباس","229"
"47","0219","Sendjas","سنجاس","201"
"48","0220","Zeboudja","الزبوجة","220"
"49","0221","Oued sly","وادي سلي","212"
"50","0222","Abou el hassane","أبو الحسن","222"
"51","0223","El marsa","المرسى","223"
"52","0224","Chettia","الشطية","210"
"53","0225","Sidi abderrahmane","سيدي عبد الرحمن","202"
"54","0226","Moussadek","مصدق","223"
"55","0227","El hadjadj","الحجاج","230"
"56","0228","Labiod medjadja","الأبيض مجاجة","210"
"57","0229","Oued fodda","وادي الفضة","229"
"58","0230","Ouled ben abdelkader","أولاد بن عبد القادر","230"
"59","0231","Bouzeghaia","بوزغاية","220"
"60","0232","Ain merane","عين مران","232"
"61","0233","Oum drou","أم الدروع","201"
"62","0234","Breira","بريرة","207"
"63","0235","Beni  bouattab","بني بوعتاب","204"
"64","0301","Laghouat","الأغواط","301"
"65","0302","Ksar el hirane","قصر الحيران","302"
"66","0303","Benacer benchohra","بن ناصر بن شهرة","302"
"67","0304","Sidi makhlouf","سيدي مخلوف","304"
"68","0305","Hassi delaa","حاسي الدلاعة","306"
"69","0306","Hassi r'mel","حاسي الرمل","306"
"70","0307","Ain madhi","عين ماضي","307"
"71","0308","Tadjemout","تاجموت","307"
"72","0309","Kheneg","الخنق","307"
"73","0310","Gueltat sidi saad","قلتة سيدي سعد","310"
"74","0311","Ain sidi ali","عين سيدي علي","310"
"75","0312","El beidha","البيضاء","310"
"76","0313","Brida","بريدة","313"
"77","0314","El ghicha","الغيشة","314"
"78","0315","Hadj mechri","الحاج مشري","313"
"79","0316","Sebgag","سبقاق","319"
"80","0317","Taouiala","تاويالة","313"
"81","0318","Tadjrouna","تاجرونة","307"
"82","0319","Aflou","أفلو","319"
"83","0320","El assafia","العسافية","304"
"84","0321","Oued morra","وادي مرة","321"
"85","0322","Oued m'zi","وادي مزي","321"
"86","0323","El haouaita","الحويطة","307"
"87","0324","Sidi bouzid","سيدي بوزيد","319"
"88","0401","Oum el bouaghi","أم البواقي","401"
"89","0402","Ain beida","عين البيضاء","402"
"90","0403","Ain m'lila","عين مليلة","403"
"91","0404","Behir chergui","بحير الشرقي","424"
"92","0405","El amiria","العامرية","406"
"93","0406","Sigus","سيقوس","406"
"94","0407","El belala","البلالة","424"
"95","0408","Ain babouche","عين ببوش","408"
"96","0409","Berriche","بريش","402"
"97","0410","Ouled hamla","أولاد حملة","403"
"98","0411","Dhalaa","الضلعة","411"
"99","0412","Ain kercha","عين كرشة","412"
"100","0413","Hanchir toumghani","هنشير تومغني","412"
"101","0414","El djazia","الجازية","411"
"102","0415","Ain diss","عين الديس","408"
"103","0416","Fkirina","فكيرينة","416"
"104","0417","Souk naamane","سوق نعمان","417"
"105","0418","Zorg","الزرق","402"
"106","0419","El fedjoudj boughrara sa","الفجوج بوغرارة سعودي","425"
"107","0420","Ouled zouai","أولاد زواي","417"
"108","0421","Bir chouhada","بئر الشهداء","417"
"109","0422","Ksar sbahi","قصر الصباحي","422"
"110","0423","Oued nini","وادي نيني","416"
"111","0424","Meskiana","مسكيانة","424"
"112","0425","Ain fekroun","عين فكرون","425"
"113","0426","Rahia","الرحية","424"
"114","0427","Ain zitoun","عين الزيتون","401"
"115","0428","Ouled gacem","أولاد قاسم","403"
"116","0429","El harmilia","الحرملية","412"
"117","0501","Batna","باتنة","501"
"118","0502","Ghassira","غسيرة","544"
"119","0503","Maafa","معافة","545"
"120","0504","Merouana","مروانة","504"
"121","0505","Seriana","سريانة","505"
"122","0506","Menaa","منعة","506"
"123","0507","El madher","المعذر","507"
"124","0508","Tazoult","تازولت","508"
"125","0509","N gaous","نقاوس","509"
"126","0510","Guigba","القيقبة","551"
"127","0511","Inoughissen","إينوغيسن","530"
"128","0512","Ouyoun el assafir","عيون العصافير","508"
"129","0513","Djerma","جرمة","507"
"130","0514","Bitam","بيطام","542"
"131","0515","Azil abedelkader","عزيل عبد القادر","543"
"132","0516","Arris","أريس","516"
"133","0517","Kimmel","كيمل","544"
"134","0518","Tilatou","تيلاطو","529"
"135","0519","Ain djasser","عين جاسر","519"
"136","0520","Ouled sellem","أولاد سلام","551"
"137","0521","Tigharghar","تغرغار","506"
"138","0522","Ain yagout","عين ياقوت","507"
"139","0523","Fesdis","فسديس","501"
"140","0524","Sefiane","سفيان","509"
"141","0525","Rahbat","الرحبات","551"
"142","0526","Tighanimine","تيغانمين","516"
"143","0527","Lemcene","لمسان","553"
"144","0528","Ksar bellezma","قصر بلزمة","504"
"145","0529","Seggana","سقانة","529"
"146","0530","Ichemoul","إشمول","530"
